Table 1
,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
112,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
113,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M
114,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
115,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
116,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
117,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
118,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
119,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
120,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
121,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
122,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
123,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
124,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
125,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
126,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
127,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
128,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
129,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
130,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
131,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
132,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
133,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
134,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
135,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
136,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
137,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
138,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
139,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
140,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
141,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
142,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
143,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
144,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
145,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
146,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
147,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
148,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
149,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
150,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
151,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
152,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
153,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
154,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
155,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
156,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
157,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
158,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
159,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
160,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
161,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
162,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
163,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
164,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
165,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
166,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
167,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
168,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
169,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
170,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
171,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
172,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
173,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
174,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
175,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
176,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
177,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
178,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
179,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
180,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
181,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
182,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
183,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
184,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
185,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
186,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
187,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
188,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
189,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
190,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
191,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
192,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
193,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
194,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
195,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
196,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
197,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
198,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
199,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
200,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
201,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
202,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
203,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
204,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
205,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
206,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
207,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
208,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
209,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
210,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
211,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
212,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
213,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
214,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
215,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
216,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S
217,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
218,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
219,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
220,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
221,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
222,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
223,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
224,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
225,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
226,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
227,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
228,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
229,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
230,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
231,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
232,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
233,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
234,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
235,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
236,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
237,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
238,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
239,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
240,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
241,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
242,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
243,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
244,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
245,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
246,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
247,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
248,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
249,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
250,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
251,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
252,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
253,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
254,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
255,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
256,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
257,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
258,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
259,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
260,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
261,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
262,2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L
263,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
264,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
265,2022,MI,FT,NLP Engineer,240000,CNY,37236,US,50,US,L
266,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
267,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
268,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
269,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
270,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
271,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
272,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
273,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
274,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
275,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
276,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
277,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
278,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
279,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
280,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
281,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
282,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
283,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
284,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
285,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
286,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
287,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
288,2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
289,2022,SE,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
290,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
291,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
292,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
293,2022,EN,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L
294,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
295,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
296,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
297,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
298,2022,MI,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L
299,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
300,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
301,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
302,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
303,2022,MI,FT,Data Scientist,88000,CAD,69336,CA,100,CA,M
304,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
305,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
306,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
307,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
308,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
309,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
310,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
311,2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M
312,2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
313,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
314,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
315,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
316,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
317,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
318,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
319,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
320,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
321,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
322,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
323,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
324,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
325,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
326,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
327,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
328,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
329,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
330,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
331,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
332,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
333,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
334,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
335,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
336,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
337,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
338,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
339,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
340,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
341,2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M
342,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
343,2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
344,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
345,2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M
346,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
347,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
348,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
349,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
350,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
351,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
352,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
353,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
354,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
355,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
356,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
357,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
358,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
359,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
360,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
361,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
362,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
363,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
364,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
365,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
366,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
367,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
368,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
369,2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
370,2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
371,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
372,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
373,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
374,2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
375,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
376,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
377,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
378,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
379,2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
380,2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M
381,2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M
382,2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
383,2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M
384,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
